,AirBnB_id,active_within_0_2,arts_within_0_2,food_within_0_2,nightlife_within_0_2,restaurants_within_0_2,shopping_within_0_2,active_within_2_4,arts_within_2_4,food_within_2_4,nightlife_within_2_4,restaurants_within_2_4,shopping_within_2_4,active_beyond_4,arts_beyond_4,food_beyond_4,nightlife_beyond_4,restaurants_beyond_4,shopping_beyond_4
109,11719122,0,1,0,1,3,0,0,0,3,3,7,0,0,0,0,1,7,0
110,11719128,0,1,0,1,3,0,0,0,3,3,7,0,0,0,0,1,7,0
111,11758426,1,0,0,0,2,0,0,1,3,6,15,0,0,0,0,0,0,0
112,11792169,0,0,0,0,3,0,0,0,3,7,12,0,0,1,1,2,3,0
113,11815511,0,0,5,4,13,0,0,0,0,1,4,0,0,0,0,0,0,0
114,11819595,0,0,0,0,10,0,0,0,3,0,6,0,0,0,1,1,3,0
115,11820786,0,1,0,1,3,0,0,0,2,2,6,0,0,0,0,1,8,0
116,11827330,0,0,2,2,8,0,0,1,1,3,9,0,0,0,0,0,0,0
117,11928110,0,0,1,0,4,0,1,0,0,0,6,0,0,0,1,3,8,0
118,11963187,0,1,2,5,10,0,0,0,0,1,8,0,0,0,0,0,0,0
119,11978690,0,0,2,1,8,0,0,0,2,1,4,0,0,0,0,1,6,0
120,11990998,1,0,0,0,2,0,0,1,3,6,15,0,0,0,0,0,0,0
121,11999310,0,0,2,2,9,0,0,0,0,2,9,0,0,0,0,0,0,0
122,12019060,0,0,0,0,1,0,0,1,2,1,4,0,0,0,0,3,12,0
123,12037184,0,0,0,0,1,0,0,0,1,2,5,0,0,0,1,5,13,0
124,12038428,0,0,2,5,14,0,0,0,0,2,3,0,0,0,0,0,0,0
125,12054578,0,0,2,2,8,0,0,0,0,3,10,0,0,0,0,0,0,0
126,1206512,0,0,6,5,13,0,0,0,0,1,4,0,0,0,0,0,0,0
127,12067064,0,1,3,3,8,1,0,0,0,2,9,0,0,0,0,0,0,0
128,1209395,0,0,2,7,18,0,0,0,0,0,0,0,0,0,0,0,0,0
129,12105639,0,1,2,6,10,0,0,0,0,1,8,0,0,0,0,0,0,0
130,12171163,0,0,2,2,9,0,0,0,0,2,6,0,0,0,0,0,3,0
131,12172398,0,1,0,1,3,0,0,0,2,2,8,0,0,0,0,1,6,0
132,12212145,0,1,1,0,7,0,0,0,0,0,6,0,0,0,0,2,7,0
133,12260896,1,0,0,0,3,0,0,1,2,7,13,0,0,0,0,0,0,0
134,12262898,0,1,2,8,17,0,0,0,0,0,1,0,0,0,0,0,0,0
135,12268092,0,0,0,0,1,0,0,0,1,6,16,0,0,0,0,0,2,0
136,12276038,0,0,1,3,8,0,0,0,1,3,10,0,0,0,0,0,0,0
137,12282506,0,1,2,4,9,1,0,0,0,2,9,0,0,0,0,0,0,0
138,12291935,0,0,0,0,3,0,0,0,1,4,13,0,0,0,0,1,2,0
139,12294564,0,0,1,3,7,0,0,0,1,3,11,0,0,0,0,0,0,0
140,12309748,0,0,0,1,3,0,0,0,3,6,11,0,0,1,1,3,4,0
141,12310554,0,0,5,6,14,0,0,0,0,1,3,0,0,0,0,0,0,0
142,12319495,0,0,0,0,3,0,0,0,3,7,11,0,0,1,1,3,4,0
143,12326550,0,0,0,0,1,0,0,1,2,2,6,0,0,0,0,2,10,0
144,12345794,0,0,0,0,1,0,0,0,2,0,4,0,0,0,2,5,15,0
145,12347281,0,0,2,2,9,0,0,0,0,1,8,0,0,0,0,0,1,0
146,12355786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,18,0
147,12364943,0,1,1,8,18,0,0,0,0,0,0,0,0,0,0,0,0,0
148,12405348,0,1,2,6,12,0,0,0,0,0,6,0,0,0,0,0,0,0
149,12410928,0,0,1,8,18,0,0,0,0,0,1,0,0,0,0,0,0,0
150,12417412,0,0,1,0,4,0,0,0,3,2,5,0,0,0,1,3,9,0
151,12451484,0,0,0,8,19,1,0,0,0,0,0,0,0,0,0,0,0,0
152,12468547,0,0,1,0,5,0,1,0,0,1,8,0,0,0,0,1,6,0
153,12484381,0,0,2,0,10,0,2,1,1,1,2,1,0,0,2,0,3,0
154,12570131,0,0,4,1,9,0,1,0,0,0,2,0,0,0,1,2,6,0
155,12583954,0,1,0,1,3,0,0,0,2,2,6,0,0,0,0,1,8,0
156,12587865,0,0,2,1,2,0,0,1,1,1,6,0,0,0,1,3,9,0
157,12604546,0,0,2,5,14,0,0,0,0,2,3,0,0,0,0,0,0,0
158,12631580,0,0,2,2,5,0,0,0,0,4,12,0,0,0,0,0,1,0
159,12678946,0,0,1,3,10,0,0,0,0,3,8,0,0,0,0,0,0,0
160,12684891,0,0,1,5,13,0,0,0,0,1,5,0,0,0,0,0,0,0
161,12704075,0,1,1,1,6,0,0,0,3,4,11,0,0,0,0,0,0,0
162,12705971,0,1,1,3,7,0,0,0,1,3,11,0,0,0,0,0,0,0
163,12712683,0,0,2,2,9,0,0,1,0,2,9,0,0,0,0,0,0,0
164,12716356,0,1,1,9,18,0,0,0,0,0,0,0,0,0,0,0,0,0
165,12731349,0,0,1,5,12,0,0,0,0,1,7,0,0,0,0,0,0,0
166,12740523,0,0,2,1,2,1,1,0,1,0,9,0,0,0,1,2,5,0
167,12763495,0,1,3,7,16,0,0,0,0,0,1,0,0,0,0,0,0,0
168,12792746,0,1,1,1,6,0,0,0,2,3,11,0,0,0,0,0,0,0
169,12794699,0,0,2,5,14,0,0,0,0,2,3,0,0,0,0,0,0,0
170,12806991,0,0,0,1,4,0,0,0,3,5,10,0,0,0,1,2,5,0
